ID (AXXXX);Area;Collector_site;Sorted_as;Collection;Weight [gram];Product type (#);Manufacturing method (K, T, Others (O), Unknown (U));Membrane (0,1);Color;Wearer/purpose (M, F, U);Age category (A, C, B);Brand Source (0,1);Company/brand;Number of velcro  (0,1+);Number of metal buttons  (0,1+);Number of plastic buttons  (0,1+);Number of metal zippers  (0,1+);Number of plastic zippers  (0,1+);Number of metal rivets, eyelets or aglets (0,1+);Number of pearls (0,1+);Sequins (0,1);Reflector (0,1+);Print (0,1);Print > 100 cm² (0,1);All over printed (0,1);Other extra parts (0,1+);Care Label Present (0,1);Readable label (0,1);Number of Layers (1+);Number of fibre (1+);Made in;Year present obvious (0,1);Production year (XXXX);Guess Year (n, o, u);Code (CVR/CA/RN) if no brand;Price Tag (0,1);Degree-of-wear (Condition scale, 1-5);Holes in front (0,1+);Holes in total (0,1+);Homemade (0,1);Fibre 1 Layer 1;Fibre 1 Layer 1 [%];Fibre 2 Layer 1;Fibre 2 Layer 1 [%];Fibre 3 Layer 1;Fibre 3 Layer 1 [%];Fibre 4 Layer 1;Fibre 4 Layer 1 [%];Fibre 5 Layer 1;Fibre 5 Layer 1 [%];Fibre 6 Layer 1;Fibre 6 Layer 1 [%];Fibre 1 Layer 2;Fibre 1 Layer 2 [%];Fibre 2 Layer 2;Fibre 2 Layer 2 [%];Fibre 3 Layer 2;Fibre 3 Layer 2 [%];Fibre 4 Layer 2;Fibre 4 Layer 2 [%];Fibre 5 Layer 2;Fibre 5 Layer 2 [%];Fibre 6 Layer 2;Fibre 6 Layer 2 [%];Fibre 1 Layer 3;Fibre 1 Layer 3 [%];Fibre 2 Layer 3;Fibre 2 Layer 3 [%];Fibre 3 Layer 3;Fibre 3 Layer 3 [%];Fibre 4 Layer 3;Fibre 4 Layer 3 [%];Fibre 5 Layer 3;Fibre 5 Layer 3 [%];Fibre 1 Layer 4;Fibre 1 Layer 4 [%];Fibre 2 Layer 4;Fibre 2 Layer 4 [%]
A0132;Aalesund;Attvin_multiple;T_waste;Central;300;5;t;0;white;m;a;0;NaN;0;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;1;not declared;0;NaN;n;NaN;0;4;1;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0141;Aalesund;Attvin_multiple;T_waste;Central;143;1;t;NaN;purple;u;a;1;jack & jones;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;tur;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0142;Aalesund;Attvin_multiple;T_waste;Central;176;6;t;NaN;grey;f;b;0;NaN;NaN;0;2;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0143;Aalesund;Attvin_multiple;T_waste;Central;205;2;t;NaN;pink;f;b;1;me mini;NaN;3;4;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;ind;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;92;elastane;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0144;Aalesund;Attvin_multiple;T_waste;Central;71;8;t;NaN;multi-color;f;c;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0145;Aalesund;Attvin_multiple;T_waste;Central;179;8;t;NaN;multi-color striped;f;c;1;h&m;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0146;Aalesund;Attvin_multiple;T_waste;Central;220;8;t;NaN;multi-color pattern;f;c;1;baby bright;NaN;0;1;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;gbr;NaN;NaN;o;NaN;0;4;NaN;0;0;cotton;52;viscose;48;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0147;Aalesund;Attvin_multiple;T_waste;Central;299;5;t;NaN;white;f;a;1;fb sister;NaN;0;0;0;0;2;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;NaN;NaN;n;NaN;0;3;NaN;0;0;polyester;70;viscose;22;cotton;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0148;Aalesund;Attvin_multiple;T_waste;Central;530;6;t;NaN;grey;m;a;1;quiksilver;NaN;2;9;1;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0150;Aalesund;Attvin_multiple;T_waste;Central;274;6;t;NaN;blue;f;a;1;kappahl;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;NaN;NaN;n;NaN;0;3;NaN;0;0;cotton;80;polyester;18;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0151;Aalesund;Attvin_multiple;T_waste;Central;978;8;t;0;grey;u;a;1;onepiece;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;2;1;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0152;Aalesund;Attvin_multiple;T_waste;Central;72;2;k;0;brown;f;a;1;janus;NaN;0;0;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;1;1;est;0;NaN;NaN;3114449;0;4;0;0;0;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0153;Aalesund;Attvin_multiple;T_waste;Central;165;6;t;0;black;m;a;1;moods of norway;NaN;2;0;1;0;0;0;0;NaN;1;0;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;NaN;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0154;Aalesund;Attvin_multiple;T_waste;Central;275;6;t;0;blue;f;a;1;kappahl;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;0;NaN;NaN;45090/341446;0;3;0;0;0;cotton;74;polyester;24;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0155;Aalesund;Attvin_multiple;T_waste;Central;149;26;t;0;multi-color;f;a;1;kari traa;NaN;0;0;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;1;3;chn;0;NaN;NaN;NaN;0;4;0;0;0;polyamide or nylon;61;polyester;30;elastane;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0156;Aalesund;Attvin_multiple;T_waste;Central;564;5;t;0;blue;f;a;1;levi's;NaN;1;0;1;0;4;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0157;Aalesund;Attvin_multiple;T_waste;Central;543;26;t;0;black;f;a;1;h&m;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;bgd;0;NaN;NaN;p/n 0891996 4;0;4;0;0;0;cotton;60;polyester;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0158;Aalesund;Attvin_multiple;T_waste;Central;80;27;k;0;multi-color;f;a;1;fjellfante;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0159;Aalesund;Attvin_multiple;T_waste;Central;200;6;t;0;black;u;a;1;basecamp;NaN;1;0;0;2;0;0;0;NaN;1;0;NaN;NaN;1;1;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0160;Aalesund;Attvin_multiple;T_waste;Central;415;5;t;0;blue;f;a;1;pieces;NaN;1;0;1;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0161;Aalesund;Attvin_multiple;T_waste;Central;282;26;t;0;black;f;c;1;amisu;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0162;Aalesund;Attvin_multiple;T_waste;Central;203;6;t;0;grey;m;a;1;billabong;NaN;0;0;0;0;4;0;0;NaN;1;1;NaN;NaN;1;0;1;2;not declared;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0164;Aalesund;Attvin_multiple;T_waste;Central;103;8;t;NaN;multi-color pattern;f;c;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;NaN;2;NaN;nor;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0165;Aalesund;Attvin_multiple;T_waste;Central;116;5;t;NaN;blue;f;b;1;mohini;NaN;0;2;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;5;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0166;Aalesund;Attvin_multiple;T_waste;Central;94;27;k;NaN;multi-color;f;c;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;NaN;2;NaN;nor;NaN;NaN;n;NaN;0;5;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0167;Aalesund;Attvin_multiple;T_waste;Central;35;27;k;NaN;pink;f;b;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;NaN;1;NaN;nor;NaN;NaN;n;NaN;0;5;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0169;Aalesund;Attvin_multiple;T_waste;Central;61;27;t;NaN;red;u;c;1;ellos;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0170;Aalesund;Attvin_multiple;T_waste;Central;42;27;t;NaN;red;f;c;1;mjelde;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;NaN;2;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0171;Aalesund;Attvin_multiple;T_waste;Central;542;11;t;NaN;white;u;a;1;hoperise;NaN;9;0;0;6;4;0;0;NaN;0;0;NaN;NaN;1;1;2;2;not declared;NaN;NaN;o;NaN;0;4;NaN;0;0;polyamide or nylon;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0172;Aalesund;Attvin_multiple;T_waste;Central;240;26;t;NaN;orange;f;a;1;amisu;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;bgd;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0173;Aalesund;Attvin_multiple;T_waste;Central;148;2;t;NaN;black;f;a;0;NaN;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;5;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0174;Aalesund;Attvin_multiple;T_waste;Central;115;27;k;NaN;multi-color;f;a;1;accessorize;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;rn421768019;0;5;NaN;0;0;acrylic;90;wool;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0176;Aalesund;Attvin_multiple;T_waste;Central;43;27;t;NaN;pink;f;c;1;reima;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;lka;NaN;NaN;n;NaN;0;3;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0177;Aalesund;Attvin_multiple;T_waste;Central;128;8;t;NaN;multi-color;f;b;1;young genie;NaN;0;5;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0178;Aalesund;Attvin_multiple;T_waste;Central;450;5;t;NaN;purple;f;a;1;selected;NaN;1;0;1;0;5;0;0;NaN;0;0;NaN;NaN;1;0;1;NaN;chn;NaN;NaN;n;NaN;0;5;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0179;Aalesund;Attvin_multiple;T_waste;Central;234;6;t;NaN;purple;f;a;1;h&m;NaN;1;0;1;0;4;0;0;NaN;0;0;NaN;NaN;1;1;1;2;bgd;NaN;NaN;n;NaN;0;4;NaN;4;NaN;cotton;99;elastane;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0180;Aalesund;Attvin_multiple;T_waste;Central;80;5;t;NaN;pink;f;b;1;kappahl;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0181;Aalesund;Attvin_multiple;T_waste;Central;136;8;t;NaN;pink;f;b;1;disney;NaN;8;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;75;polyester;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0182;Aalesund;Attvin_multiple;T_waste;Central;87;8;t;NaN;pink;f;b;1;fix;NaN;0;3;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;2;3;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;80;polyester;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;cotton;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0183;Aalesund;Attvin_multiple;T_waste;Central;94;8;t;NaN;pink;f;b;1;lindex;NaN;2;2;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0184;Aalesund;Attvin_multiple;T_waste;Central;63;8;t;NaN;pink;f;b;1;mohini;NaN;0;4;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;85;polyester;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0185;Aalesund;Attvin_multiple;T_waste;Central;162;6;t;0;blue;m;a;1;helly hansen;0;0;0;1;0;0;0;0;0;1;1;NaN;0;0;0;1;NaN;chn;0;NaN;n;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0186;Aalesund;Attvin_multiple;T_waste;Central;200;5;t;0;white;f;c;0;h&m;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;2;2;khm;0;NaN;n;ca42271;0;4;0;0;0;polyester;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0187;Aalesund;Attvin_multiple;T_waste;Central;56;12;t;0;white;u;b;0;h&m;0;0;0;0;0;0;0;0;0;0;0;NaN;10;1;1;1;1;chn;0;NaN;n;ca42271;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0188;Aalesund;Attvin_multiple;T_waste;Central;45;12;t;0;white;u;b;0;cubus;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;3;3;not declared;0;NaN;n;NaN;0;4;0;0;0;cotton;77;polyamide or nylon;21;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0189;Aalesund;Attvin_multiple;T_waste;Central;100;6;t;0;multi-color pattern;f;c;1;bershka;0;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;NaN;not declared;0;NaN;n;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0190;Aalesund;Attvin_multiple;T_waste;Central;53;12;t;0;white;u;b;1;cubus;0;3;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;1;chn;0;NaN;n;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0191;Aalesund;Attvin_multiple;T_waste;Central;46;12;t;0;white;u;b;1;name it;0;3;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;1;ind;0;NaN;n;NaN;0;2;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
